epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
16,177.112,0.39437,1.16564,0.98809,0.97865,0.66667,0.9125,0.747,0.64873,2.19742,1.10367,0.00066082,0.00066082,0.00066082
17,187.7,0.43358,1.15757,0.93641,1,0.97441,0.995,0.735,0.7461,1.87598,1.12027,0.0006832,0.0006832,0.0006832
18,197.751,0.42319,1.28123,0.93876,1,0.97441,0.995,0.735,0.7461,1.87598,1.12027,0.000703204,0.000703204,0.000703204
19,208.289,0.43609,1.10362,1.0015,1,0.99217,0.995,0.838,0.50766,1.90251,1.03077,0.000720832,0.000720832,0.000720832
20,217.964,0.41822,1.00117,0.93322,1,0.9945,0.995,0.929,0.6277,2.09669,1.13252,0.000736084,0.000736084,0.000736084
21,225.995,0.40806,0.9695,0.98246,1,0.9945,0.995,0.929,0.6277,2.09669,1.13252,0.00074896,0.00074896,0.00074896
22,234.11,0.43372,1.1063,0.90604,1,0.99159,0.995,0.8625,0.60265,2.12896,1.18408,0.00075946,0.00075946,0.00075946
23,242.313,0.38968,0.92875,0.91052,1,0.99159,0.995,0.8625,0.60265,2.12896,1.18408,0.000767584,0.000767584,0.000767584
24,250.413,0.31753,0.85743,0.89772,0.98405,1,0.995,0.885,0.49318,2.08034,1.22347,0.000773332,0.000773332,0.000773332
25,258.348,0.37492,0.86889,0.87189,0.98405,1,0.995,0.885,0.49318,2.08034,1.22347,0.000776704,0.000776704,0.000776704
26,266.457,0.36265,0.95066,0.94463,1,0.99474,0.995,0.863,0.59111,2.14791,1.33796,0.0007777,0.0007777,0.0007777
27,274.444,0.39575,1.22806,1.07623,1,0.99474,0.995,0.863,0.59111,2.14791,1.33796,0.00077632,0.00077632,0.00077632
28,282.604,0.38282,0.96815,0.88378,0.98356,1,0.995,0.75758,0.6286,2.32802,1.15595,0.000772564,0.000772564,0.000772564
29,290.694,0.3367,0.85791,0.91892,0.98356,1,0.995,0.75758,0.6286,2.32802,1.15595,0.000766432,0.000766432,0.000766432
30,298.937,0.37864,0.87433,0.89664,0.98356,1,0.995,0.75758,0.6286,2.32802,1.15595,0.000757924,0.000757924,0.000757924
31,307.436,0.36983,0.904,0.88895,0.9839,1,0.995,0.78517,0.54926,1.99487,1.00568,0.00074704,0.00074704,0.00074704
32,320.58,0.32056,0.83606,0.92509,0.9839,1,0.995,0.78517,0.54926,1.99487,1.00568,0.00073378,0.00073378,0.00073378
33,331.889,0.30132,0.84118,0.85767,0.9781,1,0.995,0.929,0.41962,1.63945,0.91366,0.000718144,0.000718144,0.000718144
34,345.414,0.39208,0.85812,0.93835,0.9781,1,0.995,0.929,0.41962,1.63945,0.91366,0.0006932,0.0006932,0.0006932
35,356.79,0.33016,0.79829,0.92185,0.9781,1,0.995,0.929,0.41962,1.63945,0.91366,0.0006536,0.0006536,0.0006536
36,367.831,0.35867,0.79826,0.9031,0.93898,1,0.995,0.951,0.37879,1.48161,0.88264,0.000614,0.000614,0.000614
37,378.404,0.4502,1.13131,0.9587,0.93898,1,0.995,0.951,0.37879,1.48161,0.88264,0.0005744,0.0005744,0.0005744
38,388.794,0.31248,0.79047,0.89947,0.93898,1,0.995,0.951,0.37879,1.48161,0.88264,0.0005348,0.0005348,0.0005348
39,400.365,0.31876,0.76154,0.90475,0.94417,1,0.995,0.951,0.3123,1.40642,0.81852,0.0004952,0.0004952,0.0004952
40,412.516,0.32023,0.87128,0.85967,0.94417,1,0.995,0.951,0.3123,1.40642,0.81852,0.0004556,0.0004556,0.0004556
41,423.494,0.24838,1.62895,0.91614,0.96542,1,0.995,0.995,0.29072,1.46815,0.78741,0.000416,0.000416,0.000416
42,436.242,0.27698,1.45611,0.8996,0.96542,1,0.995,0.995,0.29072,1.46815,0.78741,0.0003764,0.0003764,0.0003764
43,446.037,0.23146,1.25738,0.86647,0.96542,1,0.995,0.995,0.29072,1.46815,0.78741,0.0003368,0.0003368,0.0003368
44,460.455,0.23578,1.26138,0.8878,0.97564,1,0.995,0.907,0.30846,1.5477,0.80204,0.0002972,0.0002972,0.0002972
45,471.097,0.24715,1.2326,0.8712,0.97564,1,0.995,0.907,0.30846,1.5477,0.80204,0.0002576,0.0002576,0.0002576
46,479.642,0.25072,1.25447,0.90123,0.97564,1,0.995,0.907,0.30846,1.5477,0.80204,0.000218,0.000218,0.000218
47,487.936,0.29352,1.26035,0.94649,0.97837,1,0.995,0.907,0.32312,1.52733,0.83119,0.0001784,0.0001784,0.0001784
48,496.377,0.33585,1.37719,0.99739,0.97837,1,0.995,0.907,0.32312,1.52733,0.83119,0.0001388,0.0001388,0.0001388
49,504.663,0.23829,1.28514,0.91967,0.98115,1,0.995,0.962,0.33462,1.44014,0.8406,9.92e-05,9.92e-05,9.92e-05
50,513.129,0.2534,1.19267,0.86846,0.98115,1,0.995,0.962,0.33462,1.44014,0.8406,5.96e-05,5.96e-05,5.96e-05
